SURVEY_ID,SURVEY_NM,DOMAIN_ID,INSTITUTION_ID,COLLECTION_GRADE,REGION_STAT,LABEL
750003,완도군청년통계,사회일반,전라남도 완도군,4,True,survey
127016,인공지능산업실태조사,과학·기술,과학기술정보통신부,1,False,survey
114055,귀농귀촌실태조사,농림,농림축산식품부,2,False,survey
764003,안동시여성통계,복지,경상북도 안동시,4,True,survey
737003,곡성군청년통계,사회일반,전라남도 곡성군,4,True,survey
145013,의료용마약류취급현황,보건,식품의약품안전처,4,False,survey
639003,포천시노인등록통계,복지,경기도 포천시,4,True,survey
632003,안성시노인등록통계,복지,경기도 안성시,4,True,survey
631003,이천시노인등록통계,복지,경기도 이천시,4,True,survey
624004,오산시노인등록통계,복지,경기도 오산시,3,True,survey
623003,남양주시노인등록통계,복지,경기도 남양주시,3,True,survey
619004,안산시다문화•외국인가구통계,사회일반,경기도 안산시,4,True,survey
618003,동두천시노인등록통계,복지,경기도 동두천시,4,True,survey
691005,천안시주거실태조사,주거,충청남도 천안시,4,True,survey
106034,물산업통계,환경,환경부,1,False,survey
802004,함안군평생학습실태조사,교육·훈련,경상남도 함안군,3,True,survey
117104,장기요양실태조사,복지,보건복지부,2,False,survey
654003,동해시일자리종합실태조사,노동,강원특별자치도 동해시,3,True,survey
797005,김해시일자리종합실태조사,노동,경상남도 김해시,3,True,survey
585002,광산구여성통계,복지,광주광역시 광산구,3,True,survey
117103,중증장애인생산품 생산시설 실태조사,기업경영,보건복지부,2,False,survey
117102,장애인건강보건통계,보건,보건복지부,4,False,survey
691004,천안시전통시장및상점가조사,도소매·서비스,충청남도 천안시,4,True,survey
455001,지식서비스산업실태조사,도소매·서비스,산업연구원,2,False,survey
456001,국민법의식실태조사,범죄·안전,한국법제연구원,1,False,survey
204010,인천광역시사회조사,사회일반,인천광역시,3,True,survey
129001,인권의식실태조사,사회일반,국가인권위원회,1,False,survey
804004,고성군노인실태조사,복지,경상남도 고성군,3,True,survey
218012,제주특별자치도청년사회경제실태조사,경제일반·경기,제주특별자치도,4,True,survey
641004,양평군청소년사회환경조사,사회일반,경기도 양평군,4,True,survey
142021,소상공인실태조사,기업경영,중소벤처기업부,1,False,survey
717003,완주군아동청소년사회환경조사,사회일반,전북특별자치도 완주군,4,True,survey
692002,공주시전통시장및상점가조사,도소매·서비스,충청남도 공주시,3,True,survey
715002,남원시청년사회경제실태조사,경제일반·경기,전북특별자치도 남원시,3,True,survey
791006,창원시경제지표조사,경제일반·경기,경상남도 창원시,3,True,survey
617004,평택시일자리인식실태조사,노동,경기도 평택시,3,True,survey
706003,서천군청년사회경제실태조사,경제일반·경기,충청남도 서천군,4,True,survey
694008,아산시제조업실태조사,광업·제조업,충청남도 아산시,4,True,survey
208009,세종특별자치시청년사회경제실태조사,경제일반·경기,세종특별자치시,4,True,survey
205011,광주광역시일자리인식실태조사,노동,광주광역시,3,True,survey
733004,순천시경제지표조사,경제일반·경기,전라남도 순천시,3,True,survey
640003,가평군일자리인식실태조사,노동,경기도 가평군,3,True,survey
628004,하남시일자리인식실태조사,노동,경기도 하남시,3,True,survey
101089,프랜차이즈조사,도소매·서비스,통계청,2,False,survey
630004,파주시일자리인식실태조사,노동,경기도 파주시,3,True,survey
127015,연구실안전관리실태조사,범죄·안전,과학기술정보통신부,2,False,survey
101088,임금근로일자리동향행정통계,노동,통계청,4,False,survey
122009,국방통계,정부·재정,국방부,4,False,survey
426003,항공운송업체연료소비량현황조사,교통·물류,한국교통안전공단,2,False,survey
113024,지역문화현황통계,문화.여가,문화체육관광부,4,False,survey
106033,대기오염물질배출량,환경,환경부,4,False,survey
211011,강원도사회보장수급대상통계,복지,강원특별자치도,4,True,survey
414002,주택보증통계,주거,주택도시보증공사,4,False,survey
145012,식생활관리현황,보건,식품의약품안전처,4,False,survey
213013,충청남도청년통계,사회일반,충청남도,4,True,survey
770005,경산시노인복지통계,복지,경상북도 경산시,4,True,survey
215008,전라남도노인등록통계,복지,전라남도,4,True,survey
203013,대구광역시노인등록통계,복지,대구광역시,4,True,survey
449001,바이오소재통계,과학·기술,한국생명공학연구원,3,False,survey
207010,울산광역시노인등록통계,복지,울산광역시,3,True,survey
211010,강원도경기종합지수,경제일반·경기,강원특별자치도,4,True,survey
695003,서산시노인복지통계,복지,충청남도 서산시,4,True,survey
694007,아산시여성통계,복지,충청남도 아산시,4,True,survey
208008,세종특별자치시장애인통계,복지,세종특별자치시,4,True,survey
