INSTITUTION_ID,INSTITUTION_NM,TYPE,LABEL
INST_0214,세종특별자치시,지방자치단체,institution
INST_0215,소방청,중앙행정기관,institution
INST_0216,소상공인시장진흥공단,공사/공단,institution
INST_0217,수산업협동조합중앙회,협회/조합,institution
INST_0218,식품의약품안전처,중앙행정기관,institution
INST_0219,신용보증기금,공사/공단,institution
INST_0220,아동권리보장원,기타기관,institution
INST_0221,에너지경제연구원,연구기관,institution
INST_0222,여성가족부,중앙행정기관,institution
INST_0223,예금보험공사,공사/공단,institution
INST_0224,울산광역시,지방자치단체,institution
INST_0225,울산광역시 남구,지방자치단체,institution
INST_0226,울산광역시 동구,지방자치단체,institution
INST_0227,울산광역시 북구,지방자치단체,institution
INST_0228,울산광역시 울주군,지방자치단체,institution
INST_0229,울산광역시 중구,지방자치단체,institution
INST_0230,인사혁신처,중앙행정기관,institution
INST_0231,인천광역시,지방자치단체,institution
INST_0232,인천광역시 강화군,지방자치단체,institution
INST_0233,인천광역시 계양구,지방자치단체,institution
INST_0234,인천광역시 남동구,지방자치단체,institution
INST_0235,인천광역시 동구,지방자치단체,institution
INST_0236,인천광역시 미추홀구,지방자치단체,institution
INST_0237,인천광역시 부평구,지방자치단체,institution
INST_0238,인천광역시 서구,지방자치단체,institution
INST_0239,인천광역시 연수구,지방자치단체,institution
INST_0240,인천광역시 옹진군,지방자치단체,institution
INST_0241,인천광역시 중구,지방자치단체,institution
INST_0242,재단법인 여성기업종합지원센터,기타기관,institution
INST_0243,전라남도,지방자치단체,institution
INST_0244,전라남도 강진군,지방자치단체,institution
INST_0245,전라남도 고흥군,지방자치단체,institution
INST_0246,전라남도 곡성군,지방자치단체,institution
INST_0247,전라남도 광양시,지방자치단체,institution
INST_0248,전라남도 구례군,지방자치단체,institution
INST_0249,전라남도 나주시,지방자치단체,institution
INST_0250,전라남도 담양군,지방자치단체,institution
INST_0251,전라남도 목포시,지방자치단체,institution
INST_0252,전라남도 무안군,지방자치단체,institution
INST_0253,전라남도 보성군,지방자치단체,institution
INST_0254,전라남도 순천시,지방자치단체,institution
INST_0255,전라남도 신안군,지방자치단체,institution
INST_0256,전라남도 여수시,지방자치단체,institution
INST_0257,전라남도 영광군,지방자치단체,institution
INST_0258,전라남도 영암군,지방자치단체,institution
INST_0259,전라남도 완도군,지방자치단체,institution
INST_0260,전라남도 장성군,지방자치단체,institution
INST_0261,전라남도 장흥군,지방자치단체,institution
INST_0262,전라남도 진도군,지방자치단체,institution
INST_0263,전라남도 함평군,지방자치단체,institution
INST_0264,전라남도 해남군,지방자치단체,institution
INST_0265,전라남도 화순군,지방자치단체,institution
INST_0266,전북특별자치도,지방자치단체,institution
INST_0267,전북특별자치도 고창군,지방자치단체,institution
INST_0268,전북특별자치도 군산시,지방자치단체,institution
INST_0269,전북특별자치도 김제시,지방자치단체,institution
INST_0270,전북특별자치도 남원시,지방자치단체,institution
INST_0271,전북특별자치도 무주군,지방자치단체,institution
INST_0272,전북특별자치도 부안군,지방자치단체,institution
INST_0273,전북특별자치도 순창군,지방자치단체,institution
INST_0274,전북특별자치도 완주군,지방자치단체,institution
INST_0275,전북특별자치도 익산시,지방자치단체,institution
INST_0276,전북특별자치도 임실군,지방자치단체,institution
INST_0277,전북특별자치도 장수군,지방자치단체,institution
INST_0278,전북특별자치도 전주시,지방자치단체,institution
INST_0279,전북특별자치도 정읍시,지방자치단체,institution
INST_0280,전북특별자치도 진안군,지방자치단체,institution
INST_0281,정보통신정책연구원,연구기관,institution
INST_0282,제주특별자치도,지방자치단체,institution
INST_0283,조달청,중앙행정기관,institution
INST_0284,주택도시보증공사,공사/공단,institution
INST_0285,중소기업기술정보진흥원,연구기관,institution
INST_0286,중소기업은행,금융기관,institution
INST_0287,중소기업중앙회,협회/조합,institution
INST_0288,중소벤처기업부,중앙행정기관,institution
INST_0289,질병관리청,중앙행정기관,institution
INST_0290,축산물품질평가원,공사/공단,institution
INST_0291,충청남도,지방자치단체,institution
INST_0292,충청남도 계룡시,지방자치단체,institution
INST_0293,충청남도 공주시,지방자치단체,institution
INST_0294,충청남도 금산군,지방자치단체,institution
INST_0295,충청남도 논산시,지방자치단체,institution
INST_0296,충청남도 당진시,지방자치단체,institution
INST_0297,충청남도 보령시,지방자치단체,institution
INST_0298,충청남도 부여군,지방자치단체,institution
INST_0299,충청남도 서산시,지방자치단체,institution
INST_0300,충청남도 서천군,지방자치단체,institution
INST_0301,충청남도 아산시,지방자치단체,institution
INST_0302,충청남도 예산군,지방자치단체,institution
INST_0303,충청남도 천안시,지방자치단체,institution
INST_0304,충청남도 청양군,지방자치단체,institution
INST_0305,충청남도 태안군,지방자치단체,institution
INST_0306,충청남도 홍성군,지방자치단체,institution
INST_0307,충청북도,지방자치단체,institution
INST_0308,충청북도 괴산군,지방자치단체,institution
