통계표ID,통계표명,승인번호,기관코드,주기,시작연도,마지막연도,지역,연령대,대상,구분
DT_1BA9523,시도/가구주 부부의 경제활동상태 및 직업별 가구(일반가구),101001,101,5년,1995,1995,,,"가구주부부,가구","시도별,가구주부부경제활동상태별,직업별"
DT_1BAOO01,행정구역/성/연령/경제활동상태별 인구,101001,101,5년,2000,2000,,,인구,"행정구역별,성별,연령별,경제활동상태별"
DT_1BAOO02,행정구역/성/연령/종사상의 지위별 취업자(15세 이상),101001,101,5년,2000,2000,,15세 이상,취업자,"행정구역별,성별,연령별,종사상의지위별"
DT_1BAOO03,시도/성/직업(대분류)/산업(대분류)별 취업자(15세 이상),101001,101,5년,2000,2000,,15세 이상,취업자,"시도별,성별,직업별,산업별"
DT_1BAOO04,행정구역/성/연령/산업(대분류)별 취업자(15세 이상),101001,101,5년,2000,2000,,15세 이상,취업자,"행정구역별,성별,연령별,산업별"
DT_1BAOO05,행정구역/성/연령/직업(대분류)별 취업자(15세 이상),101001,101,5년,2000,2000,,15세 이상,취업자,"행정구역별,성별,연령별,직업별"
DT_1BAOO06,"시도/성/연령,혼인상태/경제활동상태별 인구(15세 이상)",101001,101,5년,2000,2000,,15세 이상,인구,"행정구역별,성별,연령별,혼인상태별,경제활동상태별"
DT_1BAOO07,"시도/성/연령,혼인상태/종사상의 지위별 취업자(15세 이상)",101001,101,5년,2000,2000,,15세 이상,취업자,"행정구역별,성별,연령및혼인상태별,종사상지위별"
DT_1BAOO08,"시도/성/연령,혼인상태/산업(대분류)별 취업자(15세 이상)",101001,101,5년,2000,2000,,15세 이상,취업자,"행정구역별,성별,연령및혼인상태별,산업별"
DT_1BAOO09,"시도/성/연령,혼인상태/직업(대분류)별 취업자(15세 이상)",101001,101,5년,2000,2000,,15세 이상,취업자,"행정구역별,성별,연령별,혼인상태별,직업별"
DT_1BAOO10,시도/성/교육정도/경제활동상태별 인구(15세 이상),101001,101,5년,2000,2000,,15세 이상,인구,"시도별,성별,교육정도별,경제활동상태별"
DT_1BAOO11,시도/성/교육정도/종사상의 지위별 취업자(15세 이상),101001,101,5년,2000,2000,,15세 이상,취업자,"시도별,성별,교육정도별,종사상의지위별"
